,Laptop,Current Price,Rating,Actual Price,Discount
0,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
1,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
2,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
3,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
4,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
5,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
6,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
7,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
8,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
9,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
10,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
11,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
12,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
13,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
14,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
15,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
16,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
17,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
18,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
19,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
20,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
21,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
22,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
23,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
24,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
25,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
26,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
27,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
28,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
29,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
30,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
31,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
32,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
33,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
34,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
35,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
36,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
37,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
38,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
39,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
40,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
41,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
42,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
43,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
44,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
45,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
46,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
47,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
48,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
49,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
50,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
51,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
52,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
53,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
54,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
55,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
56,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
57,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
58,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
59,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
60,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
61,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
62,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
63,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
64,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
65,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
66,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
67,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
68,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
69,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
70,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
71,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
72,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
73,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
74,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
75,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
76,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
77,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
78,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
79,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
